cases,date
84,01/02/2022
103,02/02/2022
90,03/02/2022
99,04/02/2022
,05/02/2022
128,06/02/2022
117,07/02/2022
119,08/02/2022
135,09/02/2022
216,10/02/2022
340,11/02/2022
294,12/02/2022
623,13/02/2022
768,14/02/2022
535,15/02/2022
861,16/02/2022
1140,17/02/2022
1384,18/02/2022
1240,19/02/2022
1799,20/02/2022
1692,21/02/2022
1802,22/02/2022
1729,23/02/2022
3879,24/02/2022
7968,25/02/2022
9262,26/02/2022
9046,27/02/2022
9305,28/02/2022
12530,01/03/2022
13231,02/03/2022
13237,03/03/2022
13252,04/03/2022
9789,05/03/2022
7226,06/03/2022
7639,07/03/2022
9881,08/03/2022
8529,09/03/2022
7234,10/03/2022
7240,11/03/2022
6077,12/03/2022
4509,13/03/2022
4730,14/03/2022
6085,15/03/2022
5318,16/03/2022
4867,17/03/2022
3498,18/03/2022
4346,19/03/2022
2768,20/03/2022
3279,21/03/2022
4291,22/03/2022
4122,23/03/2022
3629,24/03/2022
2982,25/03/2022
2652,26/03/2022
1886,27/03/2022
